Haryana,ArmedAssault
Punjab,Bombing/Explosion
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Unknown
Unknown,Bombing/Explosion
Punjab,Assassination
Manipur,Bombing/Explosion
Punjab,Assassination
Punjab,Facility/InfrastructureAttack
JammuandKashmir,Bombing/Explosion
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Hijacking
Punjab,Bombing/Explosion
Punjab,ArmedAssault
Punjab,Assassination
Punjab,Assassination
Punjab,Facility/InfrastructureAttack
Punjab,Bombing/Explosion
Punjab,Assassination
Punjab,Assassination
Punjab,ArmedAssault
Punjab,ArmedAssault
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Assam,Bombing/Explosion
Punjab,Assassination
Punjab,Assassination
Haryana,Bombing/Explosion
Punjab,Bombing/Explosion
Assam,Assassination
Assam,Bombing/Explosion
Punjab,Assassination
Punjab,Assassination
Assam,Bombing/Explosion
Unknown,Hijacking
Unknown,Facility/InfrastructureAttack
Punjab,Unknown
TamilNadu,Bombing/Explosion
Punjab,Assassination
Karnataka,Hijacking
Unknown,Hijacking
Unknown,ArmedAssault
Tripura,ArmedAssault
Punjab,Bombing/Explosion
Punjab,Hijacking
Punjab,Bombing/Explosion
Delhi,Bombing/Explosion
Delhi,Assassination
Maharashtra,Assassination
Manipur,Assassination
Unknown,Bombing/Explosion
Punjab,Unknown
Tripura,Assassination
Unknown,Unknown
Unknown,Assassination
Chandigarh,Assassination
Chandigarh,Assassination
Chandigarh,Assassination
Punjab,Assassination
Chandigarh,Bombing/Explosion
Punjab,Assassination
Punjab,Assassination
UttarPradesh,Bombing/Explosion
Haryana,Bombing/Explosion
Chandigarh,Bombing/Explosion
Delhi,Bombing/Explosion
Delhi,Bombing/Explosion
Unknown,Bombing/Explosion
Punjab,Bombing/Explosion
Punjab,Bombing/Explosion
Punjab,Unknown
UttarPradesh,Assassination
Gujarat,Bombing/Explosion
Manipur,Bombing/Explosion
Manipur,Bombing/Explosion
Punjab,ArmedAssault
Assam,Bombing/Explosion
UttarPradesh,Assassination
Delhi,Assassination
Punjab,Assassination
Delhi,Bombing/Explosion
Punjab,Bombing/Explosion
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Unknown,Assassination
Punjab,Assassination
Punjab,Bombing/Explosion
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,ArmedAssault
Punjab,Assassination
Punjab,Assassination
TamilNadu,Bombing/Explosion
Punjab,Assassination
Punjab,Bombing/Explosion
Punjab,ArmedAssault
Punjab,Assassination
Punjab,Unknown
Punjab,Unknown
Punjab,ArmedAssault
Punjab,ArmedAssault
Punjab,Assassination
Delhi,Assassination
Punjab,ArmedAssault
Punjab,Assassination
Punjab,ArmedAssault
Punjab,ArmedAssault
AndhraPradesh,Assassination
Unknown,Assassination
Punjab,Facility/InfrastructureAttack
Punjab,ArmedAssault
Punjab,ArmedAssault
Punjab,ArmedAssault
Tripura,ArmedAssault
Punjab,HostageTaking(Kidnapping)
Punjab,ArmedAssault
Punjab,Unknown
Karnataka,Assassination
